size        	pev	         	         	 	               quotient							complex	edo
category    	     	   2     	   3     	 	                      n	/	d                      	cents          	name	name
comma       	    [	-1073    	 677     	⟩	       (too big for JS)	/	(too big for JS)       	        23.536¢	24c3C	677e3C
comma       	    [	 1119    	 -706    	⟩	       (too big for JS)	/	(too big for JS)       	        19.769¢	25c3C	706e3C
comma       	    [	-1157    	 730     	⟩	       (too big for JS)	/	(too big for JS)       	        27.151¢	26c3C	730e3C
comma       	    [	 1203    	 -759    	⟩	       (too big for JS)	/	(too big for JS)       	        16.154¢	27c3C	759e3C
comma       	    [	-1241    	 783     	⟩	       (too big for JS)	/	(too big for JS)       	        30.766¢	28c3C	783e3C
comma       	    [	 1287    	 -812    	⟩	       (too big for JS)	/	(too big for JS)       	        12.539¢	29c3C	812e3C
comma       	    [	 1352    	 -853    	⟩	       (too big for JS)	/	(too big for JS)       	        32.384¢	30c3C	853e3C
comma       	    [	-1390    	 877     	⟩	       (too big for JS)	/	(too big for JS)       	        14.536¢	31c3C	877e3C
comma       	    [	 1436    	 -906    	⟩	       (too big for JS)	/	(too big for JS)       	        28.769¢	32c3C	906e3C
comma       	    [	-1474    	 930     	⟩	       (too big for JS)	/	(too big for JS)       	        18.151¢	33c3C	930e3C
comma       	    [	 1520    	 -959    	⟩	       (too big for JS)	/	(too big for JS)       	        25.154¢	34c3C	959e3C
comma       	    [	-1558    	 983     	⟩	       (too big for JS)	/	(too big for JS)       	        21.766¢	35c3C	983e3C
comma       	    [	 1604    	-1012    	⟩	       (too big for JS)	/	(too big for JS)       	        21.539¢	36c3C	1012e3C
comma       	    [	-1642    	 1036    	⟩	       (too big for JS)	/	(too big for JS)       	        25.381¢	37c3C	1036e3C
comma       	    [	 1688    	-1065    	⟩	       (too big for JS)	/	(too big for JS)       	        17.924¢	38c3C	1065e3C
comma       	    [	-1726    	 1089    	⟩	       (too big for JS)	/	(too big for JS)       	        28.996¢	39c3C	1089e3C
comma       	    [	 1772    	-1118    	⟩	       (too big for JS)	/	(too big for JS)       	        14.309¢	40c3C	1118e3C
comma       	    [	-1810    	 1142    	⟩	       (too big for JS)	/	(too big for JS)       	        32.611¢	41c3C	1142e3C
comma       	    [	-1875    	 1183    	⟩	       (too big for JS)	/	(too big for JS)       	        12.766¢	42c3C	1183e3C
comma       	    [	 1921    	-1212    	⟩	       (too big for JS)	/	(too big for JS)       	        30.539¢	43c3C	1212e3C
comma       	    [	-1959    	 1236    	⟩	       (too big for JS)	/	(too big for JS)       	        16.381¢	44c3C	1236e3C
comma       	    [	 2005    	-1265    	⟩	       (too big for JS)	/	(too big for JS)       	        26.924¢	45c3C	1265e3C
comma       	    [	-2043    	 1289    	⟩	       (too big for JS)	/	(too big for JS)       	        19.996¢	46c3C	1289e3C
comma       	    [	 2089    	-1318    	⟩	       (too big for JS)	/	(too big for JS)       	        23.309¢	47c3C	1318e3C

smallDiesis 	    [	  46     	 -29     	⟩	         70368744177664	/	68630377364883         	        43.305¢	3S	3S
smallDiesis 	    [	 130     	 -82     	⟩	  1.361129467683754e+39	/	1.3302794647291133e+39 	        39.690¢	c3S	82e3S
smallDiesis 	    [	 214     	 -135    	⟩	 2.6328072917139297e+64	/	2.5785133671514282e+64 	        36.075¢	sc3S	135e3S
smallDiesis 	    [	 -271    	 171     	⟩	  3.870210234510308e+81	/	3.794275180128377e+81  	        34.305¢	hc3S	171e3S
smallDiesis 	    [	 -355    	 224     	⟩	  7.50172357610828e+106	/	7.339195571168229e+106 	        37.920¢	uc3S	224e3S
smallDiesis 	    [	 -439    	 277     	⟩	 1.454077510067339e+132	/	1.4196068833898572e+132	        41.535¢	5c3S	277e3S
smallDiesis 	    [	 531     	 -335    	⟩	 7.029552803973744e+159	/	6.848892208188538e+159 	        45.075¢	6c3S	335e3S
smallDiesis 	    [	 615     	 -388    	⟩	1.3597132616109238e+185	/	1.3275376022277793e+185	        41.460¢	7c3S	388e3S
smallDiesis 	    [	 699     	 -441    	⟩	 2.630067950774187e+210	/	2.5731987477063924e+210	        37.845¢	8c3S	441e3S
smallDiesis 	    [	 783     	 -494    	⟩	 5.087291284850963e+235	/	4.987694347855958e+235 	        34.230¢	9c3S	494e3S
