best commas per semitina zone (names)

0: 1u
405: 25/83C
406: 119/125C
407: 61/5C
408: 1/605C
409: 19/299C
410: 325C
411: 47/13C
412: 4165C
413: 143/125C
414: 5/221C
415: 1/4301C
416: 5/7C
417: 3703C
418: 119/13C
419: 7/29C
420: 217/5C
421: 3125C
422: 1/637C
423: 49/289C
424: 11C
425: 13/115C
426: 343/5C
427: 41/17C
428: 1/403C
429: 85/11C
430: 1235C
431: 1/4025C
432: 49/325C
433: 1/265C
434: 5/3773C
435: 61C
436: 19/7C
437: 7/235C
438: 637/11C
439: 77/425C
440: 143/25C
441: 1/3179C
442: 25/221C
443: 1/149C
444: 7/55C
445: 391C
446: 11/875C
447: 35/29C
448: 217C
449: 29/5C
450: 1/3575C
451: 17/169C
452: 55C
453: 1/377C
454: 31/65C
455: 407/5C
456: 13/121C
457: 425/11C
458: 11/91C
459: 1/805C
460: 49/19C
461: 1/53C
462: 1/4235C
463: 1855C
464: 325/7C
465: 37/17C
466: 31/77C
467: 77/85C
468: 17/95C
469: 53/13C
470: 5/49C
471: 11/259C
472: 7/11C
473: 289/7C
474: 4459C
475: 7/3125C
476: 5/31S
477: 29S
478: 13/17S
479: 1/529S
480: 275S
481: 5/377S
482: 1547/5S
483: 121/125S
484: 1/595S
485: 1/5083S
486: 55/91S
487: 1175S
488: 17/25S
489: 1/67S
490: 1/847S
491: 1/235S
492: 1/8575S
493: 23/95S
494: 7/247S
495: 11/115S
496: 13/43S
497: 551/5S
498: 25/49S
499: 2645S
500: 1045S
501: 1445/7S
502: 31S
503: 15625/7S
504: 25/31S
505: 35/289S
506: 5/209S
507: 5/529S
508: 49S
509: 19/53S
510: 413S
511: 121/25S
512: 1/119S
513: 85/37S
514: 7/65S
515: 71/11S
516: 17/5S
517: 305/7S
518: 95/49S
519: 1/47S
520: 455/11S
521: 23/19S
522: 143/35S
523: 11/23S
524: 95/31S
525: 551S
526: 1/11S
527: 7/185S
528: 11/1225S
529: 25/29S
530: 155S
531: 78125/7S
532: 175/289S
533: 25/209S
534: 275/7S
535: 65/161S
536: 245S
537: 407/7S
538: 121/5S
539: 539/625S
540: 13/1715S
541: 1/1127S
542: 7/13S
543: 5/371S
544: 7/493S
545: 1325S
546: 475/49S
547: 5/47S
548: 1/845S
549: 11/17S
550: 143/7S
551: 91/125S
552: 1309/5S
553: 9425S
554: 5/11S
555: 7/37S
556: 11/245S
557: 1/625S
558: 91/95S
559: 145/7S
560: 1/1001S
561: 25/391S
562: 1375/7S
563: 25/2639S
564: 1/475S
565: 259/25S
566: 11/43S
567: 19/47S
568: 13/343S
569: 23S
570: 17/35S
571: 131S
572: 1/667S
573: 29/85S
574: 19/11S
575: 23/455S
576: 55/17S
577: 11/161S
578: 91/25S
579: 49/115S
580: 43/7S
581: 1/89S
582: 25/11S
583: 233S
584: 1/125S
585: 71/13S
586: 1573S
587: 23/539S
588: 11/145S
589: 5/703S
590: 35S
591: 47/49S
592: 1105S
593: 121/35S
594: 7/41S
595: 377/23S
596: 1/13S
597: 1/1265S
598: 17/7S
599: 25/5929S
600: 5/527S
601: 83S
602: 95/11S
603: 13/289S
604: 49/85S
605: 55/161S
606: 91/5S
607: 121/2125S
608: 41/5S
609: 1/37S
610: 49/121S
611: 289/11S
612: 1/25S
613: 7/437S
614: 203/11S
615: 11/29S
616: 1/79S
617: 437S
618: 175S
619: 841S
620: 121/7S
621: 77/125S
622: 1/935S
623: 23/7S
624: 5/13S
625: 85/7S
626: 31/17S
627: 37/19S
628: 1/1331S
629: 119/29S
630: 1/1183S
631: 53125S
632: 49/17S
633: 7/115S
634: 187S
635: 3125/343S
636: 25/77S
637: 5/37S
638: 11/343S
639: 253/13S
640: 13/19S
641: 7/97S
642: 7007/5M
643: 11/15625M
644: 19/13M
645: 7475M
646: 875M
647: 37/5M
648: 77/25M
649: 53/49M
650: 1/187M
651: 115/7M
652: 25/13M
653: 25/493M
654: 1183M
655: 5/1331M
656: 1/16807M
657: 1331M
658: 5/1183M
659: 161/209M
660: 13/5M
661: 7/23M
662: 935M
663: 125/77M
664: 7/121M
665: 1/841M
666: 1/175M
667: 1/1495M
668: 65/19M
669: 7/109M
670: 289/125M
671: 1403M
672: 95/13M
673: 11/289M
674: 1/133M
675: 37M
676: 77/5M
677: 343/625M
678: 5/187M
679: 575/7M
680: 49/143M
681: 1/10625M
682: 11/325M
683: 1/83M
684: 6655M
685: 203/13M
686: 7/17M
687: 17/209M
688: 13M
689: 1/1595M
690: 41/7M
691: 5/259M
692: 35/121M
693: 49/407M
694: 1/35M
695: 703/5M
696: 395M
697: 55/203M
698: 1/1573M
699: 2185/7M
700: 125M
701: 17/235M
702: 605/49M
703: 185M
704: 343/125M
705: 7/551M
706: 25/91M
707: 161/11M
708: 247/5M
709: 1/2125M
710: 11/19M
711: 527M
712: 667M
713: 61/25M
714: 35/17M
715: 1/23M
716: 343/13M
717: 47/65M
718: 833M
719: 175/121M
720: 1/221M
721: 13/101M
722: 1/7M
723: 703M
724: 1001M
725: 5/1573M
726: 7/145M
727: 319/49M
728: 625M
729: 47/77M
730: 11/5M
731: 13/575M
732: 343/25M
733: 1/629M
734: 125/91M
735: 133/17M
736: 17/11M
737: 1/20125M
738: 55/19M
739: 1/1325M
740: 1/3773M
741: 469M
742: 19/35M
743: 5/23M
744: 1715/13M
745: 215/11M
746: 49/361M
747: 143/125M
748: 5/221M
749: 1/2093M
750: 7/275M
751: 391/5M
752: 5005M
753: 7/29M
754: 1/155M
755: 29/25M
756: 5/931M
757: 13/425M
758: 11M
759: 1/1885M
760: 25/1309M
761: 625/91M
762: 35/143M
763: 85/11M
764: 11/455M
765: 47M
766: 49/95M
767: 1/265M
768: 19/221M
769: 371M
770: 65/7M
771: 1/2233M
772: 119M
773: 77/425M
774: 25/121M
775: 35/407M
776: 1/49M
777: 161/13M
778: 209/5M
779: 1189M
780: 31/25M
781: 7/15625M
782: 1/31M
783: 29/5M
784: 1/1045M
785: 13/85M
786: 55M
787: 5/551M
788: 31/19M
789: 115/11M
790: 13/121M
791: 1/2975M
792: 11/91M
793: 235M
794: 17/125M
795: 7/61M
796: 25/17M
797: 1/1175M
798: 325/7M
799: 37/17M
800: 595M
801: 125/121M
802: 2821M
803: 551/25M
804: 5/49M
805: 529M
806: 209M
807: 289/7M
808: 31/5M
809: 203/221M
